,restaurant_id,review_id,rating,text,time_created,user_id,user_name,bert_sentiment,bert_score,mapped_sentiment,weighted_sentiment_score,days_since_review,recency_score,normalized_rating,weighted_rating_score
0,7E0GO6fb7KIGAd9js7mDPg,E751zhSQwwPC0Ez9L4XjMw,5,latise was top tier she was helping us when our own waitress ain't want toooo. yall need to promote her to being a manager,2025-03-29 16:12:03,coyhRIEbGDSGoNfhSweExQ,Tatyana M.,3 stars,0.24733074009418488,neutral,0.14839844405651093,42.2841213471875,0.9941621525551273,0.8,0.8970810762775636
1,7E0GO6fb7KIGAd9js7mDPg,la35rIgA4ovGsORoadkEag,4,"I love the food, it is always hot and good, but the wait time sucks big time it should not take almost an hour to get food, I believe they should have at...",2025-03-29 14:46:42,BTT0rftnl3TYC9J8FhAMHQ,Magic S.,3 stars,0.5291157960891724,neutral,0.3174694776535034,42.34339218052083,0.9941539694813893,0.6,0.7970769847406947
2,7E0GO6fb7KIGAd9js7mDPg,kuh0Nhj4llWnQlMB2SAs9Q,1,"I left Jamaican Jerk Villa on 79th Street after receiving the dryest, rudest customer service of my life. I was craving jerk food and since I heard so many...",2025-01-04 23:17:47,TK7dZsvFTPPRL7f9CeYyhQ,Kara K.,1 star,0.7978767156600952,negative,0.15957534313201904,125.98847319903935,0.9826057285119075,0.0,0.49130286425595376
3,NYY3GwZTg332dkhs8JJnlg,tnTr-WiNsgCxJI_PmhYf_w,5,"YUMMY! 

Individual 9"" Cheese Pizza
Pineapple * Jalapenos * Onion * Green Pepper * Chicken

Individual 9"" Cheese Pizza
Onion * Green Pepper * Mushrooms *...",2025-01-20 17:31:38,EOSsvFLMJCTYMhcrlJkVag,Fredrick B.,5 stars,0.48448702692985535,positive,0.48448702692985535,110.22885514348378,0.9847815392670225,0.8,0.8923907696335113
4,NYY3GwZTg332dkhs8JJnlg,666atuVPmbAW2sZmcJY9MQ,2,"Terrible Service on NYE of 2025 
They were backed up for hours 
Accepting Only Cash and The Food was just OK in taste and barely Warm....",2025-01-05 10:25:22,k5vKB9luZv4J0t1haZTG0A,Deidra A.,1 star,0.6695328950881958,negative,0.13390657901763917,125.5248736620023,0.9826697341784913,0.2,0.5913348670892457
5,NYY3GwZTg332dkhs8JJnlg,1J7zOkWc5V1jVcdDf4hlKA,1,I would've done better with a frozen home run inn pizza. This should not even be considered a pizzeria. The sauce has no taste. Crust is burnt no sausage....,2025-03-20 17:38:51,X0rZW_nBJitGi6y9kZgpgA,Cynthia T.,2 stars,0.472758412361145,negative,0.189103364944458,51.22384356940972,0.9929279130138972,0.0,0.4964639565069486
6,zPZuFYVeu6KfQpupYhP1LQ,fUvOpmVMp2fSWCCOneRtjQ,1,Awful. Service is terrible rude and unprofessional owner and staff.  Food not worth the nasty customer service. Food is not good. I'm surprised the place is...,2025-03-22 14:27:23,ZY144n_r6oixivT7JqlVBg,Lisa Y.,1 star,0.9225614070892334,negative,0.1845122814178467,49.35680653237269,0.9931856806356163,0.0,0.49659284031780815
7,zPZuFYVeu6KfQpupYhP1LQ,7iCOMVTllLBQEhpy3UJiUw,4,Passed by this spot while on my way to visit family in the area. Decided to stop in later. Got there about half an hour after they opened. Placed two...,2022-10-01 17:58:28,IwNLgcal1Nt3F6ib71XVvQ,Gino W.,1 star,0.5055634379386902,negative,0.10111268758773805,952.2102208842244,0.8685355677766642,0.6,0.734267783888332
8,zPZuFYVeu6KfQpupYhP1LQ,F3uelpYobYrXgMDdKKclUA,2,"Damn
I really wanted to like tge food here, I pass this place everyday its black owned and operated as well
After a long week ,I wanted some soul food and a...",2021-01-23 14:00:33,1s3te7TeVRFdLVPB8pqfWQ,Latrice A.,1 star,0.5574347972869873,negative,0.11148695945739746,1568.3754407916317,0.7834663162455539,0.2,0.49173315812277696
9,JwdC0viyk-edOO9X-X413w,7IfNqgfU9D_QJ9rwYhxv-w,5,You can buy them by the trays for an upcoming party or something to snack on while on a road trip.. or just but a 6 foot sandwich  for yourself  Very Fresh...,2025-04-05 10:53:51,u6KmC5z2MEGWva7F1OakRA,Georgia H.,5 stars,0.4102058410644531,positive,0.4102058410644531,35.50509356940972,0.9950980814270146,0.8,0.8975490407135074
10,JwdC0viyk-edOO9X-X413w,VzoyIC1P8BM0-SQxMTg3mA,3,I've heard good things about this place. The ice cream and shakes were great. The sandwich was more bread than other ingredients. It's an okay sandwich...,2025-02-24 14:56:06,-P--aGsAmTqrwYA1w80clQ,C C.,3 stars,0.749360978603363,neutral,0.4496165871620178,75.33686440274306,0.9895988113895732,0.4,0.6947994056947866
11,JwdC0viyk-edOO9X-X413w,EIsj835BkiRrkpbwVU2Fnw,5,The service is quick and efficient. The food is nostalgic from the turkey to the sweet steak. I love their catering the way they package ur food. Now the...,2025-02-04 05:50:28,Ika7Pmouq7CGCFD49UaCsA,Bre C.,5 stars,0.625482439994812,positive,0.625482439994812,95.7157764397801,0.9867852498025209,0.8,0.8933926249012605
12,q_QEtAn21JUaDi08UQDqTA,QkWcdB8ZojTX1cMRLOM-Nw,5,The business is black owned and very cute and cosy. The cashier was courteous. The food was absolutely delicious. And I definitely enjoyed the lemonade. It...,2023-04-08 16:44:43,aoZ46vl5iPhpLQQfMMJkNw,Brittany T.,5 stars,0.4250293970108032,positive,0.4250293970108032,763.2614361620024,0.8946222912312073,0.8,0.8473111456156037
13,q_QEtAn21JUaDi08UQDqTA,MbqlaVrMB9H49jptMnuNkw,5,"I recently came up with a ""I Can't Stop Talking About How Good They Are"" list. Food On The Run is now on the list. In my usual fashion, I arrived at the...",2022-09-24 14:20:48,IwNLgcal1Nt3F6ib71XVvQ,Gino W.,5 stars,0.35080647468566895,positive,0.35080647468566895,959.3613782916318,0.8675482617935047,0.8,0.8337741308967523
14,q_QEtAn21JUaDi08UQDqTA,Gv2HZGzim-Ui66Ff2SfDoQ,1,Terrible service. If you can you close at 8 you shouldn't turn people around before then,2024-10-02 17:52:18,EYkkYLIKOMUgmdENitWNGQ,Brianna L.,1 star,0.85457444190979,negative,0.170914888381958,220.21450329163193,0.9695966562764944,0.0,0.4847983281382472
15,0HyQYEFeg1XZHWlaiNtU-g,7XPV0mcggJv55PzEVQyMaw,3,"My friend from California was eager to visit Harold's Chicken Shack on the South Side of Chicago, known for some of the best fried chicken in the...",2024-10-05 17:34:30,H9rYI6AUYwN3tqeRZYmxYw,Eric L.,4 stars,0.3468775451183319,positive,0.27750203609466556,217.22686440274305,0.9700091368838243,0.4,0.6850045684419122
16,0HyQYEFeg1XZHWlaiNtU-g,_GaklhJvusnsQFN4eG0TSg,5,Got 50 wings on short notice for guests coming to town after Christmas and I was too worn out to cook after cooking for the  holiday. Order promised in 25...,2025-01-05 06:47:01,kdz6be9bLdXlwXfZtwmV0g,Angela M.,1 star,0.3341812193393707,negative,0.06683624386787415,125.67650560644675,0.9826487995077158,0.8,0.8913243997538579
17,0HyQYEFeg1XZHWlaiNtU-g,Xa3pAEKsmZNXbOTp-BRq_Q,1,"Over cooked garbage, unless you like disappointment this is the place to order... I have nothing too say positive about this dump it should be closed....",2025-01-09 17:43:46,ateWrc3tB3Cyez1bCHD7XQ,Stephen M.,1 star,0.8029677271842957,negative,0.16059354543685914,121.22042921755786,0.9832640161264422,0.0,0.4916320080632211
18,Au9FDBs2Tr3isO2DTJPANw,tKM4Xm04z-QijFQXAYO6yQ,5,The food is reasonably priced and delicious. The owners are very friendly. The place is not fancy but it never disappoints.,2025-03-28 08:52:43,bRa96Ib4V_j_q4KrT3R4-g,Gina H.,4 stars,0.6778592467308044,positive,0.5422873973846436,43.58921393978009,0.9939819683343313,0.8,0.8969909841671657
