restaurant_id,review_id,rating,text,time_created,user_id,user_name,bert_sentiment,bert_score,mapped_sentiment,weighted_score,days_since_review,recency_score,normalized_rating,prediction,topic_id,topic_label
7E0GO6fb7KIGAd9js7mDPg,E751zhSQwwPC0Ez9L4XjMw,5,latise was top tier she was helping us when our own waitress ain't want toooo. yall need to promote her to being a manager,2025-03-29 16:12:03,coyhRIEbGDSGoNfhSweExQ,Tatyana M.,3 stars,0.2473307400941848,neutral,0.8971486252458492,41.299980979664355,0.994297250491698,0.8,0,18,Parking & Party Cake Celebrations
7E0GO6fb7KIGAd9js7mDPg,la35rIgA4ovGsORoadkEag,4,"I love the food, it is always hot and good, but the wait time sucks big time it should not take almost an hour to get food, I believe they should have at...",2025-03-29 14:46:42,BTT0rftnl3TYC9J8FhAMHQ,Magic S.,3 stars,0.5291157960891724,neutral,0.7971445331529761,41.35925181299768,0.994289066305952,0.6,0,30,Place Visits & Music/Cocktail Bars
7E0GO6fb7KIGAd9js7mDPg,kuh0Nhj4llWnQlMB2SAs9Q,1,"I left Jamaican Jerk Villa on 79th Street after receiving the dryest, rudest customer service of my life. I was craving jerk food and since I heard so many...",2025-01-04 23:17:47,TK7dZsvFTPPRL7f9CeYyhQ,Kara K.,1 star,0.7978767156600952,negative,0.4913696280157908,125.0043328315162,0.9827392560315816,0.0,-1,23,Food & Service Experience Highlights
NYY3GwZTg332dkhs8JJnlg,tnTr-WiNsgCxJI_PmhYf_w,5,"YUMMY! 

Individual 9"" Cheese Pizza
Pineapple * Jalapenos * Onion * Green Pepper * Chicken

Individual 9"" Cheese Pizza
Onion * Green Pepper * Mushrooms *...",2025-01-20 17:31:38,EOSsvFLMJCTYMhcrlJkVag,Fredrick B.,5 stars,0.4844870269298553,positive,0.8924576812301688,109.24471477596066,0.9849153624603376,0.8,1,8,Burger & Egg Sandwich Experiences
NYY3GwZTg332dkhs8JJnlg,666atuVPmbAW2sZmcJY9MQ,2,"Terrible Service on NYE of 2025 
They were backed up for hours 
Accepting Only Cash and The Food was just OK in taste and barely Warm....",2025-01-05 10:25:22,k5vKB9luZv4J0t1haZTG0A,Deidra A.,1 star,0.6695328950881958,negative,0.5914016351979877,124.54073329447915,0.9828032703959756,0.2,-1,22,Bakery Items & Daytime Treats
NYY3GwZTg332dkhs8JJnlg,1J7zOkWc5V1jVcdDf4hlKA,1,I would've done better with a frozen home run inn pizza. This should not even be considered a pizzeria. The sauce has no taste. Crust is burnt no sausage....,2025-03-20 17:38:51,X0rZW_nBJitGi6y9kZgpgA,Cynthia T.,2 stars,0.472758412361145,negative,0.4965314216140576,50.23970320188657,0.9930628432281152,0.0,-1,30,Place Visits & Music/Cocktail Bars
zPZuFYVeu6KfQpupYhP1LQ,fUvOpmVMp2fSWCCOneRtjQ,1,Awful. Service is terrible rude and unprofessional owner and staff.  Food not worth the nasty customer service. Food is not good. I'm surprised the place is...,2025-03-22 14:27:23,ZY144n_r6oixivT7JqlVBg,Lisa Y.,1 star,0.9225614070892334,negative,0.4966603229390992,48.37266616484954,0.9933206458781983,0.0,-1,23,Food & Service Experience Highlights
zPZuFYVeu6KfQpupYhP1LQ,7iCOMVTllLBQEhpy3UJiUw,4,Passed by this spot while on my way to visit family in the area. Decided to stop in later. Got there about half an hour after they opened. Placed two...,2022-10-01 17:58:28,IwNLgcal1Nt3F6ib71XVvQ,Gino W.,1 star,0.5055634379386902,negative,0.7343267970798639,951.2260805167016,0.868653594159728,0.6,-1,28,Trying New Spots & Variety Tasting
zPZuFYVeu6KfQpupYhP1LQ,F3uelpYobYrXgMDdKKclUA,2,"Damn
I really wanted to like tge food here, I pass this place everyday its black owned and operated as well
After a long week ,I wanted some soul food and a...",2021-01-23 14:00:33,1s3te7TeVRFdLVPB8pqfWQ,Latrice A.,1 star,0.5574347972869873,negative,0.4917863912308898,1567.391300424109,0.7835727824617796,0.2,-1,10,Portion Sizes & Quality Expectations
JwdC0viyk-edOO9X-X413w,7IfNqgfU9D_QJ9rwYhxv-w,5,You can buy them by the trays for an upcoming party or something to snack on while on a road trip.. or just but a 6 foot sandwich  for yourself  Very Fresh...,2025-04-05 10:53:51,u6KmC5z2MEGWva7F1OakRA,Georgia H.,5 stars,0.4102058410644531,positive,0.8976166532740644,34.52095320188658,0.9952333065481288,0.8,1,22,Bakery Items & Daytime Treats
